name,value,scheduleId,gachaType,bannerType,sortId,rateUpItems4,rateUpItems5,prefabPath,previewprefabPath,titlePath,globalName,vietnameseName,type,image
Khóa Trần Thế (Memory of Dust),14504,8,302,WEAPON,2,"15405,11402,14409,13407,12405",15501,GachaShowPanel_A025,UI_Tab_GachaShowPanel_A025,UI_GACHA_SHOW_PANEL_A025_TITLE,Memory of Dust,Khóa Trần Thế,Weapon,
Tartaglia (Tartaglia),1033,7,301,EVENT,998,"1027,1024,1039",1033,GachaShowPanel_A023,UI_Tab_GachaShowPanel_A023,UI_GACHA_SHOW_PANEL_A023_TITLE,Tartaglia,Tartaglia,Character,
Cánh Thiên Không (Skyward Harp),15501,6,302,WEAPON,2,"15405,11402,14409,13407,12405",15501,GachaShowPanel_A025,UI_Tab_GachaShowPanel_A025,UI_GACHA_SHOW_PANEL_A025_TITLE,Skyward Harp,Cánh Thiên Không,Weapon,
Khóa Trần Thế (Memory of Dust),14504,6,302,WEAPON,2,"15405,11402,14409,13407,12405",15501,GachaShowPanel_A025,UI_Tab_GachaShowPanel_A025,UI_GACHA_SHOW_PANEL_A025_TITLE,Memory of Dust,Khóa Trần Thế,Weapon,
Klee (Klee),1029,5,301,EVENT,999,"1025,1034,1043",1029,GachaShowPanel_A018,UI_Tab_GachaShowPanel_A018,UI_GACHA_SHOW_PANEL_A018_TITLE,Klee,Klee,Character,
Điển Tích Tây Phong (Lost Prayer to the Sacred Winds),14502,4,302,WEAPON,2,"13401,11403,12403,14403,15403",14502,GachaShowPanel_A021,UI_Tab_GachaShowPanel_A021,UI_GACHA_SHOW_PANEL_A021_TITLE,Lost Prayer to the Sacred Winds,Điển Tích Tây Phong,Weapon,
Đường Cùng Của Sói (Wolf's Gravestone),12502,4,302,WEAPON,2,"13401,11403,12403,14403,15403",14502,GachaShowPanel_A021,UI_Tab_GachaShowPanel_A021,UI_GACHA_SHOW_PANEL_A021_TITLE,Wolf's Gravestone,Đường Cùng Của Sói,Weapon,
Venti (Venti),1022,3,301,EVENT,1000,"1023,1031,1014",1022,GachaShowPanel_A019,UI_Tab_GachaShowPanel_A019,UI_GACHA_SHOW_PANEL_A019_TITLE,Venti,Venti,Character,
Cung Amos (Cung Amos),15502,2,302,WEAPON,2,"13407,11402,12402,15402,14402",15502,GachaShowPanel_A020,UI_Tab_GachaShowPanel_A020,UI_GACHA_SHOW_PANEL_A020_TITLE,Cung Amos,Cung Amos,Weapon,
Cánh Thiên Không (Skyward Harp),15501,2,302,WEAPON,2,"13407,11402,12402,15402,14402",15502,GachaShowPanel_A020,UI_Tab_GachaShowPanel_A020,UI_GACHA_SHOW_PANEL_A020_TITLE,Skyward Harp,Cánh Thiên Không,Weapon,
Quyền Trượng Cát Đỏ (Staff of the Scarlet Sands),13511,80,302,WEAPON,2,"11405,12415,13407,14403,15401",13511,GachaShowPanel_A099,UI_Tab_GachaShowPanel_A099,UI_GACHA_SHOW_PANEL_A020_TITLE,Staff of the Scarlet Sands,Quyền Trượng Cát Đỏ,Weapon,
Tiếng Thở Dài Vô Tận (Elegy for the End),15503,80,302,WEAPON,2,"11405,12415,13407,14403,15401",13511,GachaShowPanel_A099,UI_Tab_GachaShowPanel_A099,UI_GACHA_SHOW_PANEL_A020_TITLE,Elegy for the End,Tiếng Thở Dài Vô Tận,Weapon,
Albedo (Albedo),1038,85,400,EVENT,982,"1024,1014,1023",1038,GachaShowPanel_A101,UI_Tab_GachaShowPanel_A101,UI_GACHA_SHOW_PANEL_A027_TITLE,Albedo,Albedo,Character,
Tartaglia (Tartaglia),1033,91,400,EVENT,982,"1074,1059,1050",1033,GachaShowPanel_A107,UI_Tab_GachaShowPanel_A107,UI_GACHA_SHOW_PANEL_A023_TITLE,Tartaglia,Tartaglia,Character,
Cyno (Cyno),1071,81,301,EVENT,982,"1065,1053,1072",1071,GachaShowPanel_A097,UI_Tab_GachaShowPanel_A097,UI_GACHA_SHOW_PANEL_A097_TITLE,Cyno,Cyno,Character,
Venti (Venti),1022,82,400,EVENT,982,"1065,1053,1072",1022,GachaShowPanel_A098,UI_Tab_GachaShowPanel_A098,UI_GACHA_SHOW_PANEL_A019_TITLE,Venti,Venti,Character,
Nahida (Nahida),1073,87,301,EVENT,982,"1032,1020,1034",1073,GachaShowPanel_A103,UI_Tab_GachaShowPanel_A103,UI_GACHA_SHOW_PANEL_A0103_TITLE,Nahida,Nahida,Character,
Yae Miko (Yae Miko),1058,90,301,EVENT,982,"1074,1059,1050",1058,GachaShowPanel_A106,UI_Tab_GachaShowPanel_A106,UI_GACHA_SHOW_PANEL_A071_TITLE,Yae Miko,Yae Miko,Character,
Nilou (Nilou),1070,84,301,EVENT,982,"1024,1014,1023",1070,GachaShowPanel_A100,UI_Tab_GachaShowPanel_A100,UI_GACHA_SHOW_PANEL_A0100_TITLE,Nilou,Nilou,Character,
Yoimiya (Yoimiya),1049,88,400,EVENT,982,"1032,1020,1034",1049,GachaShowPanel_A104,UI_Tab_GachaShowPanel_A104,UI_GACHA_SHOW_PANEL_A049_TITLE,Yoimiya,Yoimiya,Character,
Chìa Khóa Khaj-Nisut (Key of Khaj-Nisut),11511,83,302,WEAPON,2,"11418,12405,13401,14416,15403",11511,GachaShowPanel_A102,UI_Tab_GachaShowPanel_A102,UI_GACHA_SHOW_PANEL_A020_TITLE,Key of Khaj-Nisut,Chìa Khóa Khaj-Nisut,Weapon,
Bàn Nham Kết Lục (Primordial Jade Cutter),11505,83,302,WEAPON,2,"11418,12405,13401,14416,15403",11511,GachaShowPanel_A102,UI_Tab_GachaShowPanel_A102,UI_GACHA_SHOW_PANEL_A020_TITLE,Primordial Jade Cutter,Bàn Nham Kết Lục,Weapon,
Chân Ý Của Kagura (Kagura's Verity),14509,89,302,WEAPON,2,"11401,12402,13401,14401,15402",14509,GachaShowPanel_A108,UI_Tab_GachaShowPanel_A108,UI_GACHA_SHOW_PANEL_A020_TITLE,Kagura's Verity,Chân Ý Của Kagura,Weapon,
